step,mean_vulnerable,mean_constant
656,512.399789362539,512.7007353205123
657,510.4226677247748,511.30696414692744
658,513.7857390393257,511.9836490752018
659,510.9879470835109,510.20403964016623
660,512.7784749638744,511.6616894291793
661,510.5836065696281,511.69765558521266
662,512.0869071536063,509.84159131182145
663,511.6232753779065,511.04521408391196
664,509.6300605096763,511.2703676864732
665,512.9797045142078,509.1288472405565
666,510.34333135872004,510.6539792416203
667,510.9605779135446,509.7340738106936
668,509.47749218736055,510.18938846547934
669,508.87985690113595,510.47499340065775
670,508.1423585835372,512.130247881842
671,509.8037015714126,513.2431376615292
672,510.5712520320336,508.83564301835287
673,513.2809514327386,511.68006018348467
674,511.1278572171424,510.45923598627036
675,510.89377446148285,511.19070628583705
676,509.57149405991174,511.19571890309936
677,511.1903898959756,511.16246371749526
678,512.4288400544709,507.4471896071636
679,511.6522329034833,510.2313305013916
680,513.2851477313951,510.38131470523695
681,510.46322518233256,510.69938917830734
682,511.4672743121131,512.5532090446758
683,510.4411751362546,513.7092046832563
684,511.2515829794209,511.70226416916626
685,511.6331763341634,511.0231611455428
686,512.1787340985844,508.7861020860794
687,512.6050991313584,510.72645739188505
688,513.5539340557076,510.4816321516168
689,509.308393831019,512.1539741272052
690,509.8307935078442,511.104439436509
691,511.72600788312235,511.9569858728059
692,512.4143121639122,509.57334433265135
693,510.8681026128831,508.9399751751455
694,512.447332202493,509.41280541643715
695,508.380705717228,510.46391938239384
696,510.3413030883548,510.5037733343856
697,510.4819151359724,510.76043389433687
698,511.57321191417964,511.3842490801794
699,510.69754376047786,512.0603553709724
700,510.403151015918,510.33496183995504
701,512.6709750622226,512.1588719681189
702,510.1167165470395,512.4511749924267
703,512.8675965265772,510.8726814402735
704,510.51608155092237,511.21089772042654
705,509.82443362818196,509.9890326115841
706,513.351306404768,511.86604029249867
707,510.898146156571,510.6316235290165
708,509.392036458146,510.8879651513438
709,512.8315258805557,509.992572661566
710,510.70830540025094,509.9405588354528
711,512.2607027062179,510.5050953741085
712,509.8432677547776,509.4507923904397
713,510.37375532413716,508.67516819284094
714,511.4109744090719,511.23330375654547
715,511.7372241293791,509.3332984001117
716,512.2141165701237,512.0523809361032
717,511.1768615093937,510.20012613989394
718,510.5636778073399,510.01816404158586
719,510.46146404293717,513.2828600426722
720,511.81915372466307,510.49965685793364
721,512.5109467848503,510.4259362585176
722,510.17271376710715,510.3356719143931
723,510.50808051963065,511.6477497840561
724,510.25632819519245,510.48443284127404
725,511.5936821540487,511.0507795765153
726,511.77130685009536,512.3673247092297
727,509.32539307143907,512.4822082260299
728,511.6972129958347,511.36241714802617
729,510.82830650988075,509.8995998037197
730,509.84242939799384,513.595340636494
731,512.4225296045072,511.9471630110236
732,512.7353509329729,509.07110687417145
733,507.60706362378716,509.80417258188737
734,510.70599180338615,510.001415692012
735,509.3157162055186,510.59904678634
736,514.2920000796527,510.236250573964
737,513.59031750166,512.0410988414901
738,511.3039710569166,508.6015247372565
739,512.3905353221518,512.2565901127851
740,509.0697218917904,512.0188660596763
741,511.70071433273716,508.07543586278035
742,511.4798803448524,508.83887816059945
743,512.4032787859068,511.1436058541857
744,511.4918726436336,507.92508643659335
745,511.8022496135559,510.1939374512139
746,511.42502784786154,510.1615079179198
747,510.7294505076397,512.4073840450255
748,513.0198277824268,509.97963505491117
749,511.06415704542013,511.0452710593843
750,510.954964638151,511.24857627487836
751,510.285468524974,507.8645988781365
752,510.1125222560244,511.8702024487507
753,510.6455108892488,510.2871774708718
754,510.72004115544104,510.9272702027609
755,513.4264482634571,511.04791282587314
756,510.47231304688427,512.9989830602192
757,510.9786829277356,510.62519545496247
758,510.8185764773749,511.5280331333581
759,510.87326741059456,513.1332679019275
760,510.03295869511845,511.34033843886914
761,510.91752797925653,511.8444657885602
762,511.75492665524916,510.7693933414723
763,512.860421278992,513.9835938127432
764,510.3636793475639,511.9730552323642
765,510.7826296352535,510.3557652298578
766,511.17018611136,509.63367752065574
767,511.43015730613496,512.9917680597755
768,512.3556139274821,511.56489022602364
769,512.8718668986052,512.8760166548944
770,510.3165312614366,512.1048774107733
771,508.83158877225554,511.6486628722988
772,512.0521534050141,514.8273064723519
773,512.1538258437769,509.69517661333464
774,512.2297636476243,509.3716716157485
775,509.0432603076461,512.6992680897476
776,510.27322131045753,511.06332459931144
777,510.60422040401306,508.82531023792797
